artist,total_appearances,share_pct,origin
Taylor Swift,2091,6.07,International
Sabrina Carpenter,964,2.8,International
Billie Eilish,887,2.58,International
Olivia Rodrigo,693,2.01,International
Chappell Roan,634,1.84,International
Benson Boone,537,1.56,International
Central Cee,532,1.55,UK
Drake,516,1.5,International
The Killers,511,1.48,International
Dua Lipa,484,1.41,UK
Chase & Status,482,1.4,UK
Noah Kahan,458,1.33,International
RAYE,442,1.28,UK
Teddy Swims,433,1.26,International
Arctic Monkeys,432,1.25,UK
The Weeknd,419,1.22,International
D-Block Europe,409,1.19,UK
Tate McRae,405,1.18,International
Dave,397,1.15,UK
Ariana Grande,367,1.07,International
cassö,348,1.01,UK
Hozier,333,0.97,International
Harry Styles,333,0.97,UK
Natasha Bedingfield,319,0.93,UK
Vance Joy,314,0.91,International
Charli xcx,295,0.86,UK
Lord Huron,293,0.85,International
Post Malone,285,0.83,International
Ella Henderson,278,0.81,UK
Michael Marcagi,277,0.8,International
SZA,267,0.78,International
Doja Cat,261,0.76,International
Dasha,255,0.74,International
Jazzy,242,0.7,International
Ice Spice,242,0.7,International
Kanye West,240,0.7,International
David Guetta,236,0.69,International
Coldplay,236,0.69,UK
David Kushner,234,0.68,International
Beyoncé,231,0.67,International
Shaboozey,218,0.63,International
Clementine Douglas,218,0.63,UK
Tyla,218,0.63,International
Fred again..,217,0.63,UK
Myles Smith,212,0.62,UK
Bou,208,0.6,UK
Madonna,208,0.6,International
Kenya Grace,207,0.6,UK
Kendrick Lamar,207,0.6,International
Rudimental,206,0.6,UK
Calvin Harris,202,0.59,UK
OneRepublic,197,0.57,International
Artemas,196,0.57,UK
Flowdan,196,0.57,UK
Sonny Fodera,193,0.56,UK
The Goo Goo Dolls,192,0.56,International
Mitski,189,0.55,International
Gunna,188,0.55,International
"Tyler, The Creator",182,0.53,International
Eminem,179,0.52,International
Zach Bryan,178,0.52,International
Mark Ambor,177,0.51,International
Gracie Abrams,177,0.51,International
Travis Scott,176,0.51,International
Richy Mitch & The Coal Miners,174,0.51,International
Jack Harlow,174,0.51,International
Djo,172,0.5,International
Miley Cyrus,169,0.49,International
Peggy Gou,167,0.49,International
Tommy Richman,160,0.46,International
The Kid LAROI,158,0.46,International
Becky Hill,158,0.46,UK
Lewis Capaldi,154,0.45,UK
Fleetwood Mac,153,0.44,UK
bbyclose,148,0.43,UK
BL3SS,148,0.43,UK
CamrinWatsin,148,0.43,Unclassified
Ty Dolla $ign,144,0.42,International
RoRo,143,0.42,Unclassified
Hannah Laing,143,0.42,UK
Bruno Mars,142,0.41,International
Metro Boomin,137,0.4,International
J Hus,133,0.39,UK
Ellie Goulding,132,0.38,UK
D.O.D,131,0.38,UK
Oasis,128,0.37,UK
Jordan Adetunji,126,0.37,UK
Stormzy,124,0.36,UK
PinkPantheress,120,0.35,UK
Rema,119,0.35,International
Lady Gaga,119,0.35,International
MK,116,0.34,International
Anne-Marie,115,0.33,UK
Vibe Chemistry,115,0.33,Unclassified
Charlotte Plank,115,0.33,UK
Tom Odell,113,0.33,UK
Sophie Ellis-Bextor,113,0.33,UK
Obongjayar,113,0.33,UK
Morgan Wallen,104,0.3,Unclassified
Robert Miles,102,0.3,Unclassified
Stryv,102,0.3,Unclassified
Switch Disco,102,0.3,Unclassified
Keinemusik,102,0.3,Unclassified
Adam Port,102,0.3,Unclassified
The Blessed Madonna,102,0.3,Unclassified
¥$,101,0.29,Unclassified
Frank Ocean,101,0.29,Unclassified
Jorja Smith,101,0.29,Unclassified
Nicki Minaj,101,0.29,Unclassified
Aqua,100,0.29,Unclassified
Gigi Perez,99,0.29,Unclassified
Florence + The Machine,97,0.28,Unclassified
Future,97,0.28,Unclassified
Libianca,95,0.28,Unclassified
21 Savage,93,0.27,Unclassified
Hannah Boleyn,89,0.26,Unclassified
Billy Gillies,89,0.26,Unclassified
Playboi Carti,88,0.26,Unclassified
